Product,Rating,Price,TotalRatings,itemURL
"Tata Salt, 1kg",4.4,18.00,9123,"https://images-eu.ssl-images-amazon.com/images/I/61j0wPsKqoL._AC_UL200_SR200,200_.jpg"
"Maggi 2-Minute Noodles Masala, 70g (Pack of 12)",4.4,144.00,4045,"https://images-eu.ssl-images-amazon.com/images/I/81WyWDbuqsL._AC_UL200_SR200,200_.jpg"
"Amazon Brand - Vedaka Cumin (Jeera) Seed, 100g",4.4,28.00,5388,"https://images-eu.ssl-images-amazon.com/images/I/91BKeAyu-xL._AC_UL200_SR200,200_.jpg"
"Tata Sampann Unpolished Toor Dal/Arhar Dal, 1kg",4.4,69.00,4924,"https://images-eu.ssl-images-amazon.com/images/I/61XxbJq2nJL._AC_UL200_SR200,200_.jpg"
"Tata Sampann Besan, 1kg",4.3,45.00,4242,"https://images-eu.ssl-images-amazon.com/images/I/81Jq11WLcBL._AC_UL200_SR200,200_.jpg"
"Tata Sampann Turmeric Powder Masala, 100g",4.5,30.00,3610,"https://images-eu.ssl-images-amazon.com/images/I/81qiAU40KFL._AC_UL200_SR200,200_.jpg"
"Sunfeast Dark Fantasy Choco Fills, 75g",4.4,25.00,2681,"https://images-eu.ssl-images-amazon.com/images/I/712UP4Hr-kL._AC_UL200_SR200,200_.jpg"
"Amazon Brand - Vedaka Maida, 1kg (Pack of 1)",4.0,30.00,632,"https://images-eu.ssl-images-amazon.com/images/I/81JBVb5dTNL._AC_UL200_SR200,200_.jpg"
"Dark Fantasy Choco Fills, 300g",4.4,98.00,3933,"https://images-eu.ssl-images-amazon.com/images/I/51qHxF-NgsL._AC_UL200_SR200,200_.jpg"
"Amazon Brand - Vedaka Sooji, 500g",4.0,31.00,770,"https://images-eu.ssl-images-amazon.com/images/I/81vIBhSdjbL._AC_UL200_SR200,200_.jpg"
"Sunfeast Mom's Magic Cashew and Almond, 600g",4.4,84.00,755,"https://images-eu.ssl-images-amazon.com/images/I/819bDz6Q9DL._AC_UL200_SR200,200_.jpg"
"Del Monte Tomato Ketchup Spout Pack, 950g",4.5,95.00,403,"https://images-eu.ssl-images-amazon.com/images/I/61HR1eCbjxL._AC_UL200_SR200,200_.jpg"
"Tata Sampann Moong Dal Split, 1kg",4.4,84.00,2679,"https://images-eu.ssl-images-amazon.com/images/I/61Wni0NYKuL._AC_UL200_SR200,200_.jpg"
"Dabur 100% Pure Honey Squeezy, 225g (Buy 1 Get 1 Free)",4.4,132.00,1837,"https://images-eu.ssl-images-amazon.com/images/I/719kpEAd8iL._AC_UL200_SR200,200_.jpg"
"Amazon Brand - Vedaka Medium Poha, 1kg",4.3,38.00,918,"https://images-eu.ssl-images-amazon.com/images/I/81JBv2AAAdL._AC_UL200_SR200,200_.jpg"
"Dhampure White Crystal Sugar, 5kg",4.5,219.00,2566,"https://images-eu.ssl-images-amazon.com/images/I/71S1J9DE9nL._AC_UL200_SR200,200_.jpg"
"Amazon Brand - Vedaka Popular Black Chana, 1 kg",4.3,50.00,2140,"https://images-eu.ssl-images-amazon.com/images/I/91wD-kBXIuL._AC_UL200_SR200,200_.jpg"
"Fortune Kachi Ghani Pure Mustard Oil Pouch, 1L",4.4,118.00,1501,"https://images-eu.ssl-images-amazon.com/images/I/51nKoWKmTWL._AC_UL200_SR200,200_.jpg"
"Tata Sampann Green Moong, Whole, 500g",4.4,76.00,1296,"https://images-eu.ssl-images-amazon.com/images/I/61PAGfAgILL._AC_UL200_SR200,200_.jpg"
"Amazon Brand - Vedaka Popular Chana Dal, 1 kg",4.3,48.00,3016,"https://images-eu.ssl-images-amazon.com/images/I/91BgISAA8nL._AC_UL200_SR200,200_.jpg"
"Tata Sampann Chana Dal, 1kg",4.5,53.00,2671,"https://images-eu.ssl-images-amazon.com/images/I/71xM2MCSC1L._AC_UL200_SR200,200_.jpg"
"Madhur Pure and Hygienic Sugar, 1kg Bag",4.2,49.00,3039,"https://images-eu.ssl-images-amazon.com/images/I/51P6aYqGgHL._AC_UL200_SR200,200_.jpg"
"Amazon Brand - Vedaka Gram Flour (100% Chana Besan), 1 kg",4.3,42.00,1398,"https://images-eu.ssl-images-amazon.com/images/I/91hfJ-uAalL._AC_UL200_SR200,200_.jpg"
"Amazon Brand - Vedaka Popular Toor Dal, 1kg",4.1,112.00,4620,"https://images-eu.ssl-images-amazon.com/images/I/91mcCz5-jmL._AC_UL200_SR200,200_.jpg"
"Tata Sampann Kabuli, 1kg",4.5,69.00,1616,"https://images-eu.ssl-images-amazon.com/images/I/91PLlwiCYmL._AC_UL200_SR200,200_.jpg"
"Daawat Basmati Rice, Rozana (Super), 1kg",3.4,76.00,2323,"https://images-eu.ssl-images-amazon.com/images/I/81AePHvrfQL._AC_UL200_SR200,200_.jpg"
"Amazon Brand - Vedaka Popular White Urad Split, 1 kg",4.2,69.00,1867,"https://images-eu.ssl-images-amazon.com/images/I/91OVHgaUiYL._AC_UL200_SR200,200_.jpg"
"Amazon Brand - Vedaka Raw Peanuts, Pink, 1kg",4.0,160.00,911,"https://images-eu.ssl-images-amazon.com/images/I/91oNY%2BgNzPL._AC_UL200_SR200,200_.jpg"
Quaker Oats - 1 kg,4.4,175.00,2749,"https://images-eu.ssl-images-amazon.com/images/I/71d1m0h25JL._AC_UL200_SR200,200_.jpg"
Dabur Honey Squeezy  - India's No.1 Honey - 400 g (Buy 1 Get 1 Free),4.3,250.00,3327,"https://images-eu.ssl-images-amazon.com/images/I/81bMMlilwsL._AC_UL200_SR200,200_.jpg"
"Saffola Gold, Pro Healthy Lifestyle Edible Oil Pouch 1 L",4.4,139.00,3962,"https://images-eu.ssl-images-amazon.com/images/I/71jXmGsytdL._AC_UL200_SR200,200_.jpg"
"Fortune Kachi Ghani Pure Mustard Oil, 1L (Pet Bottle)",4.4,122.00,3301,"https://images-eu.ssl-images-amazon.com/images/I/41YDq-tchUL._AC_UL200_SR200,200_.jpg"
"Amazon Brand - Vedaka Popular Red Masoor Dal Split, 1 kg",4.1,45.00,2134,"https://images-eu.ssl-images-amazon.com/images/I/91005j%2Bcf2L._AC_UL200_SR200,200_.jpg"
"Tata Sampann Poha (Thick), 500 g",4.5,42.00,762,"https://images-eu.ssl-images-amazon.com/images/I/61EhdLJlHrL._AC_UL200_SR200,200_.jpg"
"Amazon Brand - Vedaka Popular Moong Dal (Yellow), 1 kg",4.2,70.00,2956,"https://images-eu.ssl-images-amazon.com/images/I/917K%2BFOPh2L._AC_UL200_SR200,200_.jpg"
"Amazon Brand - Vedaka Premium Chitra Rajma, 1kg",4.3,69.00,1012,"https://images-eu.ssl-images-amazon.com/images/I/9112NEg4%2BdL._AC_UL200_SR200,200_.jpg"
"Tata Sampann Urad Whole, 1kg",4.4,89.00,2143,"https://images-eu.ssl-images-amazon.com/images/I/61%2BzAKmSgRL._AC_UL200_SR200,200_.jpg"
"Fortune Sunlite Refined Sunflower Oil, 1L",4.2,107.00,1146,"https://images-eu.ssl-images-amazon.com/images/I/51TH5xE%2B2sL._AC_UL200_SR200,200_.jpg"
"Nutella Hazelnut Spread with Cocoa, 290g",4.5,339.00,2013,"https://images-eu.ssl-images-amazon.com/images/I/71OSDx9uJjL._AC_UL200_SR200,200_.jpg"
"Madhur Pure Sugar, 5kg Bag",4.3,219.00,2235,"https://images-eu.ssl-images-amazon.com/images/I/61TQsBpiE8L._AC_UL200_SR200,200_.jpg"
"Fortune Rice Bran Health Oil, 5L",4.3,612.00,1776,"https://images-eu.ssl-images-amazon.com/images/I/41fAkhF7UtL._AC_UL200_SR200,200_.jpg"
"Tata Sampann Chilli Powder Masala, 200g",4.4,79.00,2206,"https://images-eu.ssl-images-amazon.com/images/I/81Pf3UTl%2BLL._AC_UL200_SR200,200_.jpg"
"Aashirvaad Salt - Iodised, 1kg Bag",4.4,18.00,3212,"https://images-eu.ssl-images-amazon.com/images/I/81L6Xwk5IEL._AC_UL200_SR200,200_.jpg"
"Maggi 2-Minute Instant Noodles, Masala - 70g Pouch",4.1,12.00,94,"https://images-eu.ssl-images-amazon.com/images/I/81Isw5YIPzL._AC_UL200_SR200,200_.jpg"
"Fortune Besan, 1kg",4.4,86.00,1860,"https://images-eu.ssl-images-amazon.com/images/I/516orkbeQPL._AC_UL200_SR200,200_.jpg"
"Sunfeast Dark Fantasy Bourbon Bliss, 150g",4.4,25.50,554,"https://images-eu.ssl-images-amazon.com/images/I/71GPNxlsgZL._AC_UL200_SR200,200_.jpg"
"Tata Sampann Coriander Powder Masala, 100g",4.5,31.00,2138,"https://images-eu.ssl-images-amazon.com/images/I/71uCKZ6%2BbcL._AC_UL200_SR200,200_.jpg"
"Nestle Everyday Dairy Whitener, Milk Powder for Tea, 400G Pouch",4.4,200.00,592,"https://images-eu.ssl-images-amazon.com/images/I/71x9onReBAL._AC_UL200_SR200,200_.jpg"
"Amazon Brand - Solimo Premium Almonds, 1kg",4.0,299.00,7024,"https://images-eu.ssl-images-amazon.com/images/I/91ahc3upHzL._AC_UL200_SR200,200_.jpg"
"Fortune Chakki Fresh Atta, 5kg",4.2,174.00,850,"https://images-eu.ssl-images-amazon.com/images/I/51C8aiAuiIL._AC_UL200_SR200,200_.jpg"
"Tata Salt Lite, Low Sodium, 1kg",4.5,32.00,1389,"https://images-eu.ssl-images-amazon.com/images/I/91NRqhf9ZQL._AC_UL200_SR200,200_.jpg"
"Dhampure White Crystal Sugar, 1kg",4.4,44.00,941,"https://images-eu.ssl-images-amazon.com/images/I/51M%2BId66imL._AC_UL200_SR200,200_.jpg"
"Tata Salt, 1Kg",4.6,20.00,813,"https://images-eu.ssl-images-amazon.com/images/I/61VASI018mL._AC_UL200_SR200,200_.jpg"
"Aashirvaad Shudh Chakki Atta, 10 kg",4.2,341.00,1723,"https://images-eu.ssl-images-amazon.com/images/I/51rnvVPrSDL._AC_UL200_SR200,200_.jpg"
"Tulsi California Almonds Premium, 200g",4.0,499.00,2134,"https://images-eu.ssl-images-amazon.com/images/I/811G22SIHuL._AC_UL200_SR200,200_.jpg"
"MAGGI 2-Minute Instant Noodles, Chatpata Tomato Masala - 60.5g",3.5,15.00,259,"https://images-eu.ssl-images-amazon.com/images/I/81NcWUoysVL._AC_UL200_SR200,200_.jpg"
"Tulsi California Walnuts Kernels Premium, 200g",4.1,327.75,1963,"https://images-eu.ssl-images-amazon.com/images/I/81ov42xlviL._AC_UL200_SR200,200_.jpg"
"Mawana Premium Brown Sugar, 1kg",3.9,71.00,620,"https://images-eu.ssl-images-amazon.com/images/I/718wFVrpmyL._AC_UL200_SR200,200_.jpg"
"Sunfeast Farmlite Digestive High Fibre Biscuits, 1kg",4.3,112.00,1261,"https://images-eu.ssl-images-amazon.com/images/I/6106aXc6mpL._AC_UL200_SR200,200_.jpg"
"Cadbury Bournvita Biscuits Pro Health Vitamins Chocolate, 250g",4.4,60.00,1098,"https://images-eu.ssl-images-amazon.com/images/I/61lZUwpKZPL._AC_UL200_SR200,200_.jpg"
"Tata Sampann Unpolished Rajma, 500g",4.4,85.00,738,"https://images-eu.ssl-images-amazon.com/images/I/81L40KYqABL._AC_UL200_SR200,200_.jpg"
"Fortune Sunlite Refined Sunflower Oil Can, 5L",4.3,521.00,461,"https://images-eu.ssl-images-amazon.com/images/I/412TbDp8%2BmL._AC_UL200_SR200,200_.jpg"
"Uttam Sugar Sulphurless Sugar, 1kg",4.4,45.00,1532,"https://images-eu.ssl-images-amazon.com/images/I/71LvM2gbBnL._AC_UL200_SR200,200_.jpg"
"Mother Dairy Cow Ghee, 1L",4.3,469.00,703,"https://images-eu.ssl-images-amazon.com/images/I/81nqRtKd3ZL._AC_UL200_SR200,200_.jpg"
"Tata Sampann Unpolished Masoor Dal, Whole, 1kg",4.4,58.00,1655,"https://images-eu.ssl-images-amazon.com/images/I/61WDwhYWxmL._AC_UL200_SR200,200_.jpg"
"Nandini Pure Cow Ghee, 1L (Pouch)",4.3,108.00,1373,"https://images-eu.ssl-images-amazon.com/images/I/81DXyJ3nSNL._AC_UL200_SR200,200_.jpg"
"Apis Himalaya Honey, 1kg (Buy 1 Get 1 Free)",4.0,240.00,6098,"https://images-eu.ssl-images-amazon.com/images/I/81e9fIpRRvL._AC_UL200_SR200,200_.jpg"
"Amazon Brand - Vedaka Carom (Ajwain), 100g",4.4,30.00,1805,"https://images-eu.ssl-images-amazon.com/images/I/91KtGlVLKAL._AC_UL200_SR200,200_.jpg"
"Sunfeast YiPPee Noodles, Magic Masala, 360g",4.3,64.00,796,"https://images-eu.ssl-images-amazon.com/images/I/81fBou1Ui-L._AC_UL200_SR200,200_.jpg"
"Amazon Brand - Vedaka Premium Red Masoor Whole, 1kg",4.2,49.00,846,"https://images-eu.ssl-images-amazon.com/images/I/81IzN8aZKqL._AC_UL200_SR200,200_.jpg"
"Fortune Sunlite Refined Sunflower Oil, 1L",4.2,107.00,798,"https://images-eu.ssl-images-amazon.com/images/I/51TH5xE%2B2sL._AC_UL200_SR200,200_.jpg"
"Quaker Oats Pouch, 1kg",4.4,175.00,2421,"https://images-eu.ssl-images-amazon.com/images/I/71VmQO1v04L._AC_UL200_SR200,200_.jpg"
"Del Monte Eggless Mayonnaise, 500g",4.4,96.00,169,"https://images-eu.ssl-images-amazon.com/images/I/81vQqZE-JTL._AC_UL200_SR200,200_.jpg"
"Fortune Soyabean Oil, 1L Pouch",4.2,107.00,1872,"https://images-eu.ssl-images-amazon.com/images/I/51GyUUKe-0L._AC_UL200_SR200,200_.jpg"
"Catch Red Chilli Powder, 200g",4.3,54.00,488,"https://images-eu.ssl-images-amazon.com/images/I/71Sx0MN0kvL._AC_UL200_SR200,200_.jpg"
"Fortune Sunlite Refined Sunflower Oil, 1L",4.4,109.00,806,"https://images-eu.ssl-images-amazon.com/images/I/51TH5xE%2B2sL._AC_UL200_SR200,200_.jpg"
"Mother Dairy Cow Ghee, 1L",4.1,471.00,1501,"https://images-eu.ssl-images-amazon.com/images/I/81WRc8UgycL._AC_UL200_SR200,200_.jpg"
"Amazon Brand - Vedaka Coriander (Dhania) Seeds, 200g",4.3,41.00,1297,"https://images-eu.ssl-images-amazon.com/images/I/A1MseovQYCL._AC_UL200_SR200,200_.jpg"
"Everest Powder, Kashmirilal Briliant Red Chili Powder, 100g Carton",4.4,58.00,612,"https://images-eu.ssl-images-amazon.com/images/I/51WH9wgaMlL._AC_UL200_SR200,200_.jpg"
"Fortune Chakki Fresh Atta, 10kg",4.3,323.00,1768,"https://images-eu.ssl-images-amazon.com/images/I/516L7l3%2BltL._AC_UL200_SR200,200_.jpg"
"Amazon Brand - Vedaka Popular Sugar (Small Crystals), 1 kg",4.1,48.00,1941,"https://images-eu.ssl-images-amazon.com/images/I/81fDVSferTL._AC_UL200_SR200,200_.jpg"
"Aadhar Refined Sunflower Oil, 1L",4.1,107.00,2011,"https://images-eu.ssl-images-amazon.com/images/I/813ZT6uA6ML._AC_UL200_SR200,200_.jpg"
"Dabur Hajmola Tablet, Anardana, 120 Tablets",4.3,34.00,2052,"https://images-eu.ssl-images-amazon.com/images/I/41J-OLXnxEL._AC_UL200_SR200,200_.jpg"
BAKE KING Vanilla Flavour 30ML Essence,3.5,179.00,46,"https://images-eu.ssl-images-amazon.com/images/I/713PMj-nzNL._AC_UL200_SR200,200_.jpg"
"Kellogg's Corn Flakes Original, 1.2 kg",4.6,345.00,255,"https://images-eu.ssl-images-amazon.com/images/I/71d6lFe2WML._AC_UL200_SR200,200_.jpg"
"Catch Turmeric Powder, 200g",4.5,44.00,722,"https://images-eu.ssl-images-amazon.com/images/I/717Gegl2IbL._AC_UL200_SR200,200_.jpg"
"Fortune Sunlite Refined Sunflower Oil, 1L",4.2,103.00,535,"https://images-eu.ssl-images-amazon.com/images/I/41Hn8WBEB7L._AC_UL200_SR200,200_.jpg"
"Saffola Active, Pro Weight Watchers Edible Oil, Pouch, 1 L",4.3,135.00,1610,"https://images-eu.ssl-images-amazon.com/images/I/71m6dgBaREL._AC_UL200_SR200,200_.jpg"
"Dhara Kachhi Ghani Mustard Oil, 1L Pouch",4.5,115.00,1141,"https://images-eu.ssl-images-amazon.com/images/I/61lsFzaHVxL._AC_UL200_SR200,200_.jpg"
"Amazon Brand - Vedaka Gold Tea, 1 kg",4.1,170.00,808,"https://images-eu.ssl-images-amazon.com/images/I/8103mUu0QnL._AC_UL200_SR200,200_.jpg"
"Aashirvaad Superior MP Atta Bag, 10kg",4.1,388.00,1017,"https://images-eu.ssl-images-amazon.com/images/I/51N6Y6SV-9L._AC_UL200_SR200,200_.jpg"
"MAGGI 2-Minute Instant Noodles, Masala - 840g (Pack of 12 x 70g Each)",4.3,87.00,8443,"https://images-eu.ssl-images-amazon.com/images/I/81WyWDbuqsL._AC_UL200_SR200,200_.jpg"
"Dabur Hommade Tomato Puree, 200g",4.0,24.00,528,"https://images-eu.ssl-images-amazon.com/images/I/6157ipTtZPL._AC_UL200_SR200,200_.jpg"
"Patanjali Fortified Mustard Oil, 1L",4.5,130.00,974,"https://images-eu.ssl-images-amazon.com/images/I/51mr8OLOXML._AC_UL200_SR200,200_.jpg"
Maxcare Virgin Coconut Oil (Cold Pressed) 500ML,4.5,356.25,4307,"https://images-eu.ssl-images-amazon.com/images/I/71ytHUK-H1L._AC_UL200_SR200,200_.jpg"
"Happilo 100% Natural Premium Californian Almonds, 200g",4.2,206.25,1174,"https://images-eu.ssl-images-amazon.com/images/I/71Nl5jlx%2BoL._AC_UL200_SR200,200_.jpg"
"Tata Sampann Kala Chana, 1kg",4.5,93.00,440,"https://images-eu.ssl-images-amazon.com/images/I/61-%2BLyZA2bL._AC_UL200_SR200,200_.jpg"
"Jiwa Organic Chia Seeds, 200 Grams",4.2,135.00,575,"https://images-eu.ssl-images-amazon.com/images/I/81kcoiUpZuL._AC_UL200_SR200,200_.jpg"
"Kohinoor Hyderabadi Biryani Masala, 15g",4.1,12.00,882,"https://images-eu.ssl-images-amazon.com/images/I/51nBj4cqGGL._AC_UL200_SR200,200_.jpg"
"Happilo Premium 100% Natural Whole Cashews, 35g (Pack of 12)",4.0,251.00,1159,"https://images-eu.ssl-images-amazon.com/images/I/71tS7gasUZL._AC_UL200_SR200,200_.jpg"
